Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Purpose,Source,Source_def
2002,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,YU,,100,100,live,Commercial,F,Born in captivity
2017,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,US,,,10,live,Commercial,F,Born in captivity
2000,II,Psittacula alexandri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,CH,,8,,live,Commercial,F,Born in captivity
2000,II,Psittacula alexandri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,CH,,,8,live,Not defined,F,Born in captivity
1995,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,PH,,2,,live,Zoo,C,Bred in captivity
2004,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,NZ,,166,,live,Zoo,C,Bred in captivity
2014,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,TW,,100,,live,Zoo,C,Bred in captivity
2019,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,ES,,11,,live,Zoo,C,Bred in captivity
1998,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,ZA,,,6,live,Zoo,C,Bred in captivity
2014,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,TW,,20,,live,Zoo,C,Bred in captivity
2000,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,AU,,2,2,live,Personal,C,Bred in captivity
2007,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,ID,ZA,1,1,live,Personal,C,Bred in captivity
1997,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,US,,1,,live,Personal,C,Bred in captivity
2014,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,US,,5,,live,Personal,C,Bred in captivity
2015,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,AU,,1,1,live,Personal,C,Bred in captivity
2016,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,US,,11,,live,Personal,C,Bred in captivity
1998,III,Psittacula krameri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,GB,,,18,live,Personal,C,Bred in captivity
1993,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,NL,,,4,live,Commercial,C,Bred in captivity
1997,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,NL,,10,10,live,Commercial,C,Bred in captivity
2000,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,ZA,,20,280,live,Commercial,C,Bred in captivity
2001,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,ZA,,260,396,live,Commercial,C,Bred in captivity
2002,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,SB,,340,,live,Commercial,C,Bred in captivity
2002,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,ZA,,278,730,live,Commercial,C,Bred in captivity
2003,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,NZ,,20,40,live,Commercial,C,Bred in captivity
2003,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,SB,,120,,live,Commercial,C,Bred in captivity
2003,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,ZA,,674,998,live,Commercial,C,Bred in captivity
2004,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,SB,,500,,live,Commercial,C,Bred in captivity
2004,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,ZA,,130,160,live,Commercial,C,Bred in captivity
2005,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,CI,LR,40,,live,Commercial,C,Bred in captivity
2005,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,CI,,20,,live,Commercial,C,Bred in captivity
2005,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,LR,,26,,live,Commercial,C,Bred in captivity
2005,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,NZ,,48,48,live,Commercial,C,Bred in captivity
2005,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,PH,,6,,live,Commercial,C,Bred in captivity
2005,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,SB,,1730,,live,Commercial,C,Bred in captivity
2005,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,ZA,,,90,live,Commercial,C,Bred in captivity
2006,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,GN,,6,,live,Commercial,C,Bred in captivity
2006,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,TW,,6,,live,Commercial,C,Bred in captivity
2007,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,NZ,,36,,live,Commercial,C,Bred in captivity
2007,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,TW,,48,,live,Commercial,C,Bred in captivity
2008,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,SB,,30,,live,Commercial,C,Bred in captivity
2008,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,TW,,93,,live,Commercial,C,Bred in captivity
2009,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,SB,,30,,live,Commercial,C,Bred in captivity
2010,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,ZA,,,60,live,Commercial,C,Bred in captivity
2011,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,TW,,10,,live,Commercial,C,Bred in captivity
2016,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,ZA,,,18,live,Commercial,C,Bred in captivity
2020,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,ES,,,11,live,Commercial,C,Bred in captivity
2020,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,LK,,,10,live,Commercial,C,Bred in captivity
1997,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,ES,UY,24,,live,Commercial,C,Bred in captivity
1998,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,ZA,,6,,live,Commercial,C,Bred in captivity
2000,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,ZA,,,10,live,Commercial,C,Bred in captivity
2001,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,ZA,,,10,live,Commercial,C,Bred in captivity
2002,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,ZA,,10,180,live,Commercial,C,Bred in captivity
2003,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,ZA,,,40,live,Commercial,C,Bred in captivity
2004,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,ES,UY,500,500,live,Commercial,C,Bred in captivity
2004,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,NL,,60,32,live,Commercial,C,Bred in captivity
2004,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,SB,,200,,live,Commercial,C,Bred in captivity
2005,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,CI,,9,,live,Commercial,C,Bred in captivity
2005,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,LR,,300,,live,Commercial,C,Bred in captivity
2005,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,NL,,245,16,live,Commercial,C,Bred in captivity
2006,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,TW,,10,,live,Commercial,C,Bred in captivity
2007,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,TW,,36,,live,Commercial,C,Bred in captivity
